 51 2064.396920 4.885E-20 0.000E+00.04040.055  729.67740.69-.003128              1              0                    P 19      475663 510 5 5 1 1E    0.0    0.0
 51 2064.583910 1.285E-23 0.000E+00.04420.060 2489.78310.72-.003128              2              1                    P 13      475663 510 5 5 1 8E    0.0    0.0
 51 2068.802522 1.511E-23 0.000E+00.04460.062 2440.30620.72-.003128              2              1                    P 12      475663 510 5 5 1 8E    0.0    0.0
 51 2068.846945 6.609E-20 0.000E+00.04110.056  656.78920.70-.003128              1              0                    P 18      475663 510 5 5 1 1E    0.0    0.0
 51 2072.987893 1.734E-23 0.000E+00.04510.063 2394.62790.72-.003128              2              1                    P 11      475663 510 5 5 1 8E    0.0    0.0
 51 2073.264607 8.750E-20 0.000E+00.04180.057  587.72090.71-.003128              1              0                    P 17      475663 510 5 5 1 1E    0.0    0.0
 51 2077.139876 1.936E-23 0.000E+00.04560.064 2352.74990.72-.003128              2              1                    P 10      475663 510 5 5 1 8E    0.0    0.0
 51 2077.649758 1.133E-19 0.000E+00.04240.058  522.47510.71-.003128              1              0                    P 16      475663 510 5 5 1 1E    0.0    0.0
 51 2081.258324 2.100E-23 0.000E+00.04620.065 2314.67390.71-.003128              2              1                    P  9      475663 510 5 5 1 8E    0.0    0.0
 51 2082.002253 1.435E-19 0.000E+00.04300.059  461.05440.71-.003128              1              0                    P 15      475663 510 5 5 1 1E    0.0    0.0
 51 2085.343090 2.210E-23 0.000E+00.04720.066 2280.40120.71-.003128              2              1                    P  8      475663 510 5 5 1 8E    0.0    0.0
 51 2086.321945 1.776E-19 0.000E+00.04360.059  403.46120.72-.003128              1              0                    P 14      475663 510 5 5 1 1E    0.0    0.0
 51 2089.394028 2.246E-23 0.000E+00.04860.068 2249.93340.71-.003128              2              1                    P  7      475663 510 5 5 1 8E    0.0    0.0
 51 2090.608687 2.145E-19 0.000E+00.04420.060  349.69750.72-.003128              1              0                    P 13      475663 510 5 5 1 1E    0.0    0.0
 51 2093.410991 2.196E-23 0.000E+00.05070.069 2223.27140.71-.003128              2              1                    P  6      475663 510 5 5 1 8E    0.0    0.0
 51 2094.862333 2.529E-19 0.000E+00.04460.062  299.76560.72-.003128              1              0                    P 12      475663 510 5 5 1 1E    0.0    0.0
 51 2097.393832 2.049E-23 0.000E+00.05350.071 2200.41640.71-.002852              2              1                    P  5      475663 510 5 5 1 8E    0.0    0.0
 51 2099.082735 2.908E-19 0.000E+00.04510.063  253.66720.72-.003128              1              0                    P 11      475663 510 5 5 1 1E    0.0    0.0
 51 2101.342404 1.802E-23 0.000E+00.05690.074 2181.36920.71-.002429              2              1                    P  4      475663 510 5 5 1 8E    0.0    0.0
 51 2103.269747 3.253E-19 0.000E+00.04560.064  211.40410.72-.003128              1              0                    P 10      475663 510 5 5 1 1E    0.0    0.0
 51 2105.256560 1.458E-23 0.000E+00.06090.077 2166.13050.72-.002006              2              1                    P  3      475663 510 5 5 1 8E    0.0    0.0
 51 2107.423222 3.535E-19 0.000E+00.04620.065  172.97800.71-.003128              1              0                    P  9      475663 510 5 5 1 1E    0.0    0.0
 51 2109.136154 1.030E-23 0.000E+00.06520.081 2154.70100.74-.001583              2              1                    P  2      475663 510 5 5 1 8E    0.0    0.0
 51 2111.543014 3.725E-19 0.000E+00.04720.066  138.39040.71-.003128              1              0                    P  8      475663 510 5 5 1 1E    0.0    0.0
 51 2112.981038 5.354E-24 0.000E+00.06960.087 2147.08110.77-.001159              2              1                    P  1      475663 510 5 5 1 8E    0.0    0.0
 51 2115.628975 3.793E-19 0.000E+00.04860.068  107.64240.71-.003128              1              0                    P  7      475663 510 5 5 1 1E    0.0    0.0
 51 2119.680959 3.713E-19 0.000E+00.05070.069   80.73540.71-.003128              1              0                    P  6      475663 510 5 5 1 1E    0.0    0.0
 51 2120.566089 5.474E-24 0.000E+00.06960.087 2143.27110.77-.001393              2              1                    R  0      475663 510 5 5 1 8E    0.0    0.0
 51 2123.698818 3.468E-19 0.000E+00.05350.071   57.67040.71-.002852              1              0                    P  5      475663 510 5 5 1 1E    0.0    0.0
 51 2124.305963 1.077E-23 0.000E+00.06520.081 2147.08110.74-.001383              2              1                    R  1      475663 510 5 5 1 8E    0.0    0.0
 51 2127.682406 3.052E-19 0.000E+00.05690.074   38.44810.71-.002429              1              0                    P  4      475663 510 5 5 1 1E    0.0    0.0
 51 2128.010540 1.559E-23 0.000E+00.06090.077 2154.70100.72-.001381              2              1                    R  2      475663 510 5 5 1 8E    0.0    0.0
 51 2131.631576 2.472E-19 0.000E+00.06090.077   23.06950.72-.002006              1              0                    P  3      475663 510 5 5 1 1E    0.0    0.0
 51 2131.679673 1.971E-23 0.000E+00.05690.074 2166.13050.71-.001384              2              1                    R  3      475663 510 5 5 1 8E    0.0    0.0
 51 2135.313215 2.292E-23 0.000E+00.05350.071 2181.36920.71-.001395              2              1                    R  4      475663 510 5 5 1 8E    0.0    0.0
 51 2135.546180 1.746E-19 0.000E+00.06520.081   11.53500.74-.001583              1              0                    P  2      475663 510 5 5 1 1E    0.0    0.0
 51 2138.911020 2.512E-23 0.000E+00.05070.069 2200.41640.71-.001412              2              1                    R  5      475663 510 5 5 1 8E    0.0    0.0
 51 2139.426073 9.083E-20 0.000E+00.06960.087    3.84500.77-.001159              1              0                    P  1      475663 510 5 5 1 1E    0.0    0.0
 51 2142.472940 2.627E-23 0.000E+00.04860.068 2223.27140.71-.001435              2              1                    R  6      475663 510 5 5 1 8E    0.0    0.0
 51 2145.998829 2.643E-23 0.000E+00.04720.066 2249.93340.71-.001465              2              1                    R  7      475663 510 5 5 1 8E    0.0    0.0
 51 2147.081134 9.290E-20 0.000E+00.06960.087    0.00000.77-.001393              1              0                    R  0      475663 510 5 5 1 1E    0.0    0.0
 51 2149.488540 2.569E-23 0.000E+00.04620.065 2280.40120.71-.001502              2              1                    R  8      475663 510 5 5 1 8E    0.0    0.0
 51 2150.856008 1.828E-19 0.000E+00.06520.081    3.84500.74-.001383              1              0                    R  1      475663 510 5 5 1 1E    0.0    0.0
